Profile Data:
Time                    	P                      	T    	Hu                 	Ws   	Wd          	Geopot	Dewp.	Virt. Temp 	Rs   	D
[sec]                   	[hPa]                  	[?C] 	[%]                	[m/s]	[?]         	[m]   	[?C] 	[?C]       	[m/s]	[kg/m3]
0                       	1020.0                 	14.6 	29                 	2.5  	150         	978   	-3.2 	15.1       	0.0  	1.235102
2                       	1018.1                 	14.6 	27                 	2.5  	151         	993   	-3.9 	15.1       	7.7  	1.232810
4                       	1016.3                 	14.6 	26                 	2.6  	152         	1009  	-4.7 	15.1       	7.7  	1.230521
6                       	1014.5                 	14.6 	24                 	2.6  	153         	1024  	-5.5 	15.1       	7.7  	1.228237
8                       	1012.6                 	14.5 	24                 	2.7  	156         	1039  	-6.0 	14.9       	7.7  	1.226700
10                      	1010.7                 	14.3 	24                 	2.7  	162         	1055  	-6.2 	14.7       	7.7  	1.225325
12                      	1008.9                 	14.1 	24                 	2.7  	182         	1070  	-6.3 	14.5       	7.8  	1.223953
14                      	1007.0                 	13.9 	24                 	2.8  	269         	1086  	-6.5 	14.3       	7.8  	1.222564
16                      	1005.2                 	13.7 	24                 	2.8  	305         	1101  	-6.6 	14.1       	7.8  	1.221177
18                      	1003.3                 	13.5 	24                 	2.9  	314         	1117  	-6.8 	13.8       	7.8  	1.219793
20                      	1001.5                 	13.2 	24                 	2.9  	317         	1132  	-6.9 	13.6       	7.8  	1.218444
22                      	999.6                  	13.0 	24                 	3.0  	319         	1148  	-7.0 	13.4       	7.8  	1.217141
24                      	997.8                  	12.8 	24                 	3.0  	320         	1163  	-7.2 	13.2       	7.8  	1.215840
26                      	995.9                  	12.6 	24                 	3.0  	321         	1179  	-7.3 	13.0       	7.8  	1.214536
28                      	994.1                  	12.3 	24                 	3.1  	322         	1194  	-7.4 	12.7       	7.8  	1.213235
30                      	992.3                  	12.1 	24                 	3.1  	322         	1210  	-7.6 	12.5       	7.8  	1.211935
32                      	990.4                  	11.9 	25                 	3.0  	324         	1225  	-7.7 	12.3       	7.8  	1.210633
34                      	988.6                  	11.7 	25                 	2.9  	325         	1241  	-7.7 	12.1       	7.8  	1.209170
36                      	986.7                  	11.6 	25                 	2.9  	326         	1257  	-7.7 	11.9       	7.8  	1.207630
38                      	984.9                  	11.4 	25                 	2.8  	328         	1272  	-7.8 	11.8       	7.8  	1.206089
40                      	983.1                  	11.2 	25                 	2.7  	330         	1288  	-7.8 	11.6       	7.8  	1.204550
42                      	981.3                  	11.1 	26                 	2.6  	331         	1303  	-7.8 	11.4       	7.8  	1.203013
44                      	979.6                  	10.9 	26                 	2.5  	333         	1319  	-7.8 	11.3       	7.8  	1.201681
46                      	977.9                  	10.7 	26                 	2.4  	335         	1333  	-7.9 	11.1       	7.2  	1.200351
48                      	976.3                  	10.6 	26                 	2.3  	338         	1345  	-7.9 	10.9       	6.2  	1.198950
50                      	974.8                  	10.4 	27                 	2.2  	340         	1358  	-7.8 	10.8       	6.2  	1.197771
52                      	973.4                  	10.3 	27                 	2.1  	343         	1370  	-7.8 	10.7       	6.2  	1.196594
54                      	971.9                  	10.1 	27                 	2.1  	346         	1383  	-7.8 	10.5       	6.2  	1.195418
56                      	970.5                  	10.0 	28                 	2.0  	349         	1395  	-7.8 	10.4       	6.2  	1.194241
58                      	969.0                  	9.9  	28                 	1.9  	352         	1407  	-7.8 	10.2       	6.2  	1.193065
60                      	967.6                  	9.7  	28                 	1.8  	356         	1420  	-7.8 	10.1       	6.2  	1.191874
62                      	966.1                  	9.6  	28                 	1.9  	003         	1432  	-7.8 	10.0       	6.2  	1.190485
64                      	964.7                  	9.5  	29                 	2.0  	011         	1445  	-7.7 	9.9        	6.2  	1.189098
66                      	963.2                  	9.4  	29                 	2.1  	021         	1457  	-7.7 	9.8        	6.2  	1.187713
68                      	961.8                  	9.3  	29                 	2.1  	032         	1469  	-7.7 	9.7        	6.2  	1.186328
70                      	960.4                  	9.2  	29                 	2.2  	043         	1482  	-7.6 	9.6        	6.2  	1.184945
72                      	958.9                  	9.2  	30                 	2.3  	054         	1494  	-7.6 	9.5        	6.2  	1.183563
74                      	957.8                  	9.1  	30                 	2.4  	064         	1507  	-7.6 	9.5        	6.2  	1.182555
76                      	956.8                  	9.0  	30                 	2.5  	072         	1516  	-7.6 	9.4        	4.9  	1.181433
78                      	955.7                  	9.0  	30                 	2.6  	079         	1522  	-7.5 	9.4        	2.9  	1.180311
80                      	955.0                  	8.9  	30                 	2.7  	085         	1528  	-7.5 	9.3        	2.9  	1.179685
82                      	954.3                  	8.9  	30                 	2.8  	090         	1534  	-7.5 	9.3        	2.9  	1.179060
84                      	953.7                  	8.8  	31                 	2.8  	093         	1540  	-7.5 	9.2        	2.9  	1.178435
86                      	953.0                  	8.8  	31                 	2.9  	097         	1546  	-7.5 	9.2        	2.9  	1.177810
88                      	952.3                  	8.7  	31                 	3.0  	099         	1551  	-7.5 	9.1        	2.9  	1.177187
90                      	951.6                  	8.7  	31                 	3.1  	102         	1557  	-7.5 	9.1        	2.9  	1.176566
92                      	951.0                  	8.6  	31                 	3.0  	103         	1563  	-7.5 	9.0        	2.9  	1.175944
94                      	950.3                  	8.6  	31                 	2.8  	104         	1569  	-7.5 	9.0        	2.9  	1.175322
96                      	949.6                  	8.5  	31                 	2.7  	106         	1575  	-7.5 	8.9        	2.9  	1.174701
98                      	948.9                  	8.5  	31                 	2.6  	107         	1581  	-7.5 	8.9        	2.9  	1.174079
100                     	948.3                  	8.4  	31                 	2.5  	109         	1587  	-7.5 	8.8        	2.9  	1.173459
102                     	947.6                  	8.3  	32                 	2.4  	111         	1593  	-7.5 	8.7        	2.9  	1.172919
104                     	946.8                  	8.3  	32                 	2.2  	114         	1598  	-7.6 	8.7        	2.9  	1.172242
106                     	946.0                  	8.2  	32                 	2.1  	116         	1605  	-7.6 	8.6        	3.1  	1.171566
108                     	945.2                  	8.1  	32                 	2.0  	119         	1613  	-7.6 	8.5        	4.3  	1.170890
110                     	944.2                  	8.0  	32                 	1.9  	122         	1622  	-7.7 	8.4        	4.3  	1.169975
112                     	943.2                  	8.0  	32                 	1.9  	123         	1630  	-7.7 	8.4        	4.3  	1.169061
114                     	942.3                  	7.9  	32                 	2.0  	125         	1639  	-7.7 	8.3        	4.3  	1.168148
116                     	941.3                  	7.8  	32                 	2.1  	126         	1648  	-7.7 	8.2        	4.3  	1.167299
118                     	940.3                  	7.7  	32                 	2.2  	127         	1656  	-7.7 	8.1        	4.3  	1.166459
120                     	939.3                  	7.6  	33                 	2.2  	128         	1665  	-7.7 	8.0        	4.3  	1.165620
122                     	938.3                  	7.5  	33                 	2.3  	129         	1673  	-7.8 	7.9        	4.3  	1.164780
124                     	937.4                  	7.5  	33                 	2.4  	129         	1682  	-7.8 	7.8        	4.3  	1.163942
126                     	936.4                  	7.4  	33                 	2.4  	130         	1691  	-7.8 	7.7        	4.3  	1.163103
128                     	935.4                  	7.3  	33                 	2.5  	131         	1699  	-7.8 	7.7        	4.3  	1.162264
130                     	934.4                  	7.2  	33                 	2.6  	132         	1708  	-7.8 	7.6        	4.3  	1.161407
132                     	933.4                  	7.1  	33                 	2.6  	132         	1716  	-7.8 	7.5        	4.3  	1.160550
134                     	932.5                  	7.0  	34                 	2.6  	132         	1725  	-7.9 	7.4        	4.3  	1.159709
136                     	931.5                  	6.9  	34                 	2.7  	132         	1733  	-7.9 	7.3        	4.3  	1.158869
138                     	930.6                  	6.8  	34                 	2.7  	133         	1742  	-7.9 	7.2        	4.1  	1.158029
140                     	929.7                  	6.8  	34                 	2.7  	133         	1750  	-7.9 	7.1        	4.0  	1.157262
142                     	928.8                  	6.7  	34                 	2.7  	133         	1758  	-8.0 	7.1        	4.0  	1.156487
144                     	927.9                  	6.6  	34                 	2.7  	133         	1766  	-8.0 	7.0        	4.0  	1.155693
146                     	927.0                  	6.5  	34                 	2.8  	133         	1774  	-8.0 	6.9        	4.0  	1.154898
148                     	926.1                  	6.4  	35                 	2.8  	134         	1782  	-8.0 	6.8        	4.0  	1.154105
150                     	925.2                  	6.4  	35                 	2.8  	134         	1789  	-8.1 	6.7        	4.0  	1.153312
152                     	924.3                  	6.3  	35                 	2.8  	131         	1797  	-8.1 	6.7        	4.0  	1.152518
154                     	923.4                  	6.2  	35                 	2.9  	128         	1805  	-8.1 	6.6        	4.0  	1.151726
156                     	922.5                  	6.1  	35                 	2.9  	126         	1813  	-8.1 	6.5        	4.0  	1.150910
158                     	921.6                  	6.1  	35                 	3.0  	123         	1821  	-8.1 	6.4        	4.0  	1.150075
160                     	920.7                  	6.0  	35                 	3.0  	121         	1829  	-8.1 	6.4        	4.0  	1.149242
162                     	919.8                  	5.9  	35                 	3.0  	118         	1837  	-8.1 	6.3        	4.0  	1.148409
164                     	918.9                  	5.8  	36                 	3.1  	116         	1845  	-8.2 	6.2        	4.0  	1.147606
166                     	918.0                  	5.8  	36                 	3.1  	113         	1853  	-8.2 	6.2        	4.0  	1.146805
168                     	917.2                  	5.7  	36                 	3.1  	111         	1860  	-8.2 	6.1        	3.7  	1.146004
170                     	916.4                  	5.6  	36                 	3.2  	109         	1867  	-8.2 	6.0        	3.4  	1.145298
172                     	915.6                  	5.6  	36                 	3.2  	110         	1874  	-8.3 	6.0        	3.4  	1.144586
174                     	914.9                  	5.5  	36                 	3.2  	111         	1881  	-8.3 	5.9        	3.4  	1.143875
176                     	914.1                  	5.5  	36                 	3.2  	112         	1888  	-8.4 	5.8        	3.4  	1.143164
178                     	913.3                  	5.4  	36                 	3.2  	113         	1895  	-8.4 	5.8        	3.4  	1.142454
180                     	912.6                  	5.3  	36                 	3.3  	114         	1902  	-8.5 	5.7        	3.4  	1.141744
182                     	911.8                  	5.3  	36                 	3.3  	115         	1908  	-8.5 	5.6        	3.4  	1.141048
184                     	911.0                  	5.2  	36                 	3.3  	116         	1915  	-8.5 	5.6        	3.4  	1.140433
186                     	910.3                  	5.1  	36                 	3.3  	117         	1922  	-8.6 	5.5        	3.4  	1.139819
188                     	909.5                  	5.0  	36                 	3.3  	118         	1929  	-8.6 	5.4        	3.4  	1.139205
190                     	908.7                  	4.9  	36                 	3.3  	119         	1936  	-8.7 	5.3        	3.4  	1.138591
192                     	908.0                  	4.9  	36                 	3.4  	119         	1943  	-8.7 	5.2        	3.4  	1.137978
194                     	907.2                  	4.8  	37                 	3.5  	120         	1950  	-8.8 	5.1        	3.4  	1.137364
196                     	906.4                  	4.7  	37                 	3.5  	121         	1956  	-8.8 	5.1        	3.4  	1.136717
198                     	905.7                  	4.6  	37                 	3.6  	121         	1963  	-8.9 	5.0        	3.4  	1.136025
200                     	905.0                  	4.6  	37                 	3.6  	122         	1970  	-8.9 	4.9        	3.2  	1.135397
202                     	904.3                  	4.5  	37                 	3.7  	122         	1976  	-8.9 	4.9        	3.2  	1.134768
204                     	903.6                  	4.4  	37                 	3.7  	122         	1982  	-9.0 	4.8        	3.2  	1.134141
206                     	902.8                  	4.4  	37                 	3.8  	123         	1989  	-9.0 	4.7        	3.2  	1.133514
208                     	902.1                  	4.3  	37                 	3.9  	123         	1995  	-9.1 	4.7        	3.2  	1.132887
210                     	901.4                  	4.3  	37                 	3.9  	124         	2002  	-9.2 	4.6        	3.2  	1.132142
212                     	900.7                  	4.3  	36                 	4.0  	125         	2008  	-9.3 	4.6        	3.2  	1.131347
214                     	900.0                  	4.2  	36                 	4.0  	126         	2014  	-9.5 	4.6        	3.2  	1.130553
216                     	899.3                  	4.2  	36                 	4.1  	128         	2021  	-9.6 	4.5        	3.2  	1.129760
218                     	898.6                  	4.2  	35                 	4.2  	129         	2027  	-9.7 	4.5        	3.2  	1.128967
220                     	897.9                  	4.2  	35                 	4.3  	130         	2034  	-9.8 	4.5        	3.2  	1.128175
222                     	897.2                  	4.1  	35                 	4.3  	131         	2040  	-9.8 	4.5        	3.2  	1.127383
224                     	896.5                  	4.1  	35                 	4.4  	133         	2046  	-9.8 	4.4        	3.2  	1.126712
226                     	895.8                  	4.0  	35                 	4.5  	134         	2053  	-9.9 	4.4        	3.2  	1.126042
228                     	895.1                  	4.0  	35                 	4.6  	135         	2059  	-9.9 	4.3        	3.1  	1.125373
230                     	894.6                  	3.9  	35                 	4.6  	136         	2063  	-9.9 	4.3        	2.2  	1.124968
232                     	894.1                  	3.9  	35                 	4.6  	135         	2068  	-10.0	4.2        	2.2  	1.124563
234                     	893.6                  	3.8  	35                 	4.5  	134         	2072  	-10.0	4.2        	2.2  	1.124158
236                     	893.2                  	3.8  	36                 	4.4  	133         	2077  	-10.0	4.1        	2.2  	1.123743
238                     	892.7                  	3.7  	36                 	4.4  	132         	2081  	-10.0	4.1        	2.2  	1.123305
240                     	892.2                  	3.7  	36                 	4.3  	131         	2085  	-9.9 	4.0        	2.2  	1.122866
242                     	891.7                  	3.7  	36                 	4.2  	130         	2090  	-9.9 	4.0        	2.2  	1.122427
244                     	891.2                  	3.6  	36                 	4.2  	129         	2094  	-9.9 	4.0        	2.2  	1.121988
246                     	890.7                  	3.6  	36                 	4.1  	128         	2099  	-9.9 	3.9        	2.2  	1.121550
248                     	890.2                  	3.5  	37                 	4.1  	127         	2103  	-9.9 	3.9        	2.2  	1.121112
250                     	889.8                  	3.5  	37                 	4.0  	126         	2107  	-9.9 	3.8        	2.2  	1.120678
252                     	889.3                  	3.4  	37                 	3.9  	127         	2112  	-9.9 	3.8        	2.2  	1.120249
254                     	888.8                  	3.4  	37                 	3.8  	127         	2116  	-9.9 	3.7        	2.2  	1.119820
256                     	888.3                  	3.4  	37                 	3.6  	127         	2121  	-9.9 	3.7        	2.2  	1.119391
258                     	887.8                  	3.3  	37                 	3.5  	128         	2125  	-9.9 	3.6        	2.2  	1.118963
260                     	887.2                  	3.3  	37                 	3.4  	128         	2130  	-9.9 	3.6        	2.7  	1.118402
262                     	886.7                  	3.2  	37                 	3.3  	129         	2136  	-10.0	3.6        	2.7  	1.117842
264                     	886.1                  	3.2  	37                 	3.2  	129         	2141  	-10.0	3.5        	2.7  	1.117279
266                     	885.5                  	3.1  	37                 	3.1  	130         	2147  	-10.0	3.5        	2.7  	1.116713
268                     	884.9                  	3.1  	37                 	3.0  	130         	2152  	-10.1	3.4        	2.7  	1.116147
270                     	884.3                  	3.0  	37                 	2.8  	131         	2157  	-10.1	3.4        	2.7  	1.115582
272                     	883.7                  	3.0  	37                 	3.0  	132         	2163  	-10.2	3.3        	2.7  	1.115016
274                     	883.1                  	3.0  	37                 	3.1  	132         	2168  	-10.2	3.3        	2.7  	1.114451
276                     	882.5                  	2.9  	37                 	3.3  	133         	2173  	-10.2	3.2        	2.7  	1.113886
278                     	882.0                  	2.9  	37                 	3.4  	134         	2179  	-10.2	3.2        	2.7  	1.113315
280                     	881.4                  	2.8  	37                 	3.5  	134         	2184  	-10.2	3.2        	2.7  	1.112743
282                     	880.8                  	2.8  	37                 	3.7  	135         	2189  	-10.3	3.1        	2.7  	1.112172
284                     	880.2                  	2.8  	37                 	3.8  	135         	2195  	-10.3	3.1        	2.7  	1.111601
286                     	879.6                  	2.7  	38                 	4.0  	136         	2200  	-10.3	3.0        	2.7  	1.111030
288                     	879.0                  	2.7  	38                 	4.1  	136         	2206  	-10.3	3.0        	2.7  	1.110459
290                     	878.4                  	2.6  	38                 	4.3  	136         	2211  	-10.3	3.0        	2.7  	1.109874
292                     	877.9                  	2.6  	38                 	4.3  	136         	2216  	-10.4	2.9        	2.7  	1.109273
294                     	877.3                  	2.6  	38                 	4.4  	136         	2222  	-10.4	2.9        	2.7  	1.108673
296                     	876.7                  	2.5  	38                 	4.5  	136         	2227  	-10.4	2.9        	2.7  	1.108072
298                     	876.1                  	2.5  	38                 	4.5  	136         	2233  	-10.4	2.8        	2.7  	1.107471
300                     	875.5                  	2.5  	38                 	4.6  	135         	2238  	-10.5	2.8        	2.7  	1.106870
302                     	874.9                  	2.4  	38                 	4.7  	135         	2244  	-10.5	2.7        	2.7  	1.106270
304                     	874.3                  	2.4  	38                 	4.8  	135         	2249  	-10.5	2.7        	2.7  	1.105689
306                     	873.7                  	2.3  	38                 	4.8  	135         	2254  	-10.6	2.7        	2.7  	1.105119
308                     	873.2                  	2.3  	38                 	4.9  	135         	2260  	-10.6	2.6        	2.7  	1.104548
310                     	872.6                  	2.2  	38                 	5.0  	135         	2265  	-10.7	2.6        	2.7  	1.103978
312                     	872.0                  	2.2  	38                 	4.9  	135         	2271  	-10.7	2.5        	2.7  	1.103408
314                     	871.4                  	2.2  	38                 	4.9  	136         	2276  	-10.8	2.5        	2.7  	1.102838
316                     	870.8                  	2.1  	38                 	4.8  	137         	2281  	-10.7	2.4        	2.7  	1.102268
318                     	870.2                  	2.1  	38                 	4.8  	138         	2287  	-10.7	2.4        	2.7  	1.101751
320                     	869.6                  	2.0  	38                 	4.8  	138         	2292  	-10.7	2.3        	2.7  	1.101154
322                     	868.9                  	1.9  	38                 	4.7  	139         	2299  	-10.7	2.3        	3.2  	1.100557
324                     	868.3                  	1.9  	38                 	4.7  	140         	2305  	-10.7	2.2        	3.2  	1.099960
326                     	867.6                  	1.8  	39                 	4.6  	141         	2311  	-10.7	2.2        	3.2  	1.099323
328                     	866.9                  	1.8  	39                 	4.6  	141         	2318  	-10.7	2.1        	3.2  	1.098687
330                     	866.2                  	1.7  	39                 	4.6  	142         	2324  	-10.7	2.0        	3.2  	1.098052
332                     	865.6                  	1.7  	39                 	4.6  	142         	2330  	-10.8	2.0        	3.2  	1.097420
334                     	864.9                  	1.6  	39                 	4.6  	143         	2337  	-10.8	1.9        	3.2  	1.096789
336                     	864.2                  	1.6  	39                 	4.6  	143         	2343  	-10.9	1.9        	3.2  	1.096158
338                     	863.5                  	1.5  	39                 	4.6  	143         	2349  	-10.9	1.8        	3.2  	1.095527
340                     	862.8                  	1.4  	39                 	4.6  	144         	2356  	-11.0	1.8        	3.2  	1.094896
342                     	862.2                  	1.4  	39                 	4.6  	144         	2362  	-11.0	1.7        	3.2  	1.094266
344                     	861.5                  	1.3  	39                 	4.6  	144         	2368  	-11.1	1.6        	3.2  	1.093628
346                     	860.8                  	1.3  	39                 	4.6  	144         	2375  	-11.1	1.6        	3.2  	1.092984
348                     	860.1                  	1.2  	39                 	4.6  	145         	2381  	-11.2	1.5        	3.2  	1.092340
350                     	859.4                  	1.2  	39                 	4.6  	145         	2387  	-11.2	1.5        	3.2  	1.091685
352                     	858.8                  	1.1  	39                 	4.5  	146         	2394  	-11.3	1.4        	3.2  	1.091030
354                     	858.1                  	1.1  	39                 	4.4  	146         	2400  	-11.4	1.4        	3.2  	1.090376
356                     	857.4                  	1.0  	39                 	4.3  	147         	2407  	-11.4	1.3        	3.2  	1.089714
358                     	856.7                  	0.9  	39                 	4.2  	148         	2413  	-11.4	1.2        	3.2  	1.089089
360                     	856.0                  	0.9  	39                 	4.1  	148         	2419  	-11.4	1.2        	3.2  	1.088474
362                     	855.3                  	0.8  	39                 	4.0  	149         	2426  	-11.4	1.1        	3.2  	1.087859
364                     	854.6                  	0.7  	39                 	3.9  	150         	2432  	-11.4	1.0        	3.2  	1.087244
366                     	854.0                  	0.7  	40                 	3.8  	151         	2439  	-11.4	1.0        	3.2  	1.086630
368                     	853.3                  	0.6  	40                 	3.8  	152         	2445  	-11.4	0.9        	3.2  	1.086015
370                     	852.6                  	0.5  	40                 	3.7  	153         	2452  	-11.3	0.9        	3.2  	1.085403
372                     	851.9                  	0.5  	41                 	3.5  	152         	2458  	-11.2	0.8        	3.2  	1.084812
374                     	851.2                  	0.4  	42                 	3.3  	151         	2465  	-11.1	0.7        	3.2  	1.084221
376                     	850.5                  	0.3  	42                 	3.2  	150         	2471  	-11.0	0.6        	3.2  	1.083631
378                     	849.8                  	0.3  	43                 	3.0  	150         	2478  	-10.9	0.6        	3.2  	1.083041
380                     	849.2                  	0.2  	43                 	2.9  	149         	2484  	-10.7	0.5        	3.2  	1.082476
382                     	848.5                  	0.1  	44                 	2.7  	147         	2490  	-10.6	0.4        	3.1  	1.081911
384                     	847.8                  	0.0  	44                 	2.6  	146         	2496  	-10.6	0.4        	3.1  	1.081345
386                     	847.2                  	0.0  	45                 	2.4  	145         	2503  	-10.5	0.3        	3.1  	1.080782
388                     	846.5                  	-0.1 	46                 	2.3  	143         	2509  	-10.4	0.2        	3.1  	1.080219
390                     	845.9                  	-0.2 	46                 	2.1  	141         	2515  	-10.3	0.2        	3.1  	1.079657
392                     	845.2                  	-0.2 	47                 	2.1  	137         	2521  	-10.3	0.1        	3.1  	1.079094
394                     	844.5                  	-0.3 	47                 	2.2  	133         	2528  	-10.2	0.0        	3.1  	1.078532
396                     	843.9                  	-0.4 	47                 	2.2  	129         	2534  	-10.1	0.0        	3.1  	1.077970
398                     	843.2                  	-0.4 	48                 	2.2  	124         	2540  	-10.2	-0.1       	3.1  	1.077384
400                     	842.6                  	-0.5 	48                 	2.3  	120         	2546  	-10.2	-0.2       	3.1  	1.076781
402                     	841.9                  	-0.6 	48                 	2.3  	116         	2552  	-10.2	-0.2       	3.1  	1.076179
404                     	841.3                  	-0.6 	48                 	2.3  	112         	2559  	-10.2	-0.3       	3.1  	1.075576
406                     	840.6                  	-0.7 	48                 	2.4  	109         	2565  	-10.2	-0.3       	3.1  	1.074974
408                     	840.0                  	-0.7 	49                 	2.4  	105         	2571  	-10.2	-0.4       	3.1  	1.074373
410                     	839.2                  	-0.8 	49                 	2.4  	102         	2577  	-10.2	-0.5       	3.1  	1.073670
412                     	838.5                  	-0.9 	49                 	2.5  	096         	2584  	-10.2	-0.5       	3.4  	1.073014
414                     	837.8                  	-0.9 	49                 	2.6  	091         	2592  	-10.1	-0.6       	3.9  	1.072363
416                     	836.9                  	-1.0 	50                 	2.6  	085         	2600  	-10.1	-0.7       	3.9  	1.071593
418                     	836.1                  	-1.1 	50                 	2.7  	080         	2608  	-10.1	-0.7       	3.9  	1.070824
420                     	835.3                  	-1.2 	50                 	2.7  	074         	2616  	-10.1	-0.8       	3.9  	1.070056
422                     	834.5                  	-1.2 	51                 	2.8  	069         	2623  	-10.1	-0.9       	3.9  	1.069288
424                     	833.6                  	-1.3 	51                 	2.9  	065         	2631  	-10.1	-1.0       	3.9  	1.068521
426                     	832.8                  	-1.4 	51                 	2.9  	060         	2639  	-10.2	-1.0       	3.9  	1.067757
428                     	832.0                  	-1.5 	51                 	3.0  	057         	2647  	-10.2	-1.1       	3.9  	1.066993
430                     	831.2                  	-1.5 	51                 	3.0  	053         	2655  	-10.2	-1.2       	3.9  	1.066230
432                     	830.4                  	-1.6 	52                 	3.1  	055         	2663  	-10.2	-1.3       	3.9  	1.065467
434                     	829.5                  	-1.7 	52                 	3.1  	057         	2671  	-10.2	-1.3       	3.9  	1.064705
436                     	828.7                  	-1.8 	52                 	3.2  	059         	2678  	-10.3	-1.4       	3.9  	1.063942
438                     	827.9                  	-1.8 	52                 	3.3  	061         	2686  	-10.3	-1.5       	3.9  	1.063173
440                     	827.1                  	-1.9 	52                 	3.3  	063         	2694  	-10.3	-1.5       	3.9  	1.062399
442                     	826.3                  	-2.0 	52                 	3.4  	065         	2702  	-10.3	-1.6       	3.9  	1.061626
444                     	825.5                  	-2.0 	53                 	3.4  	067         	2710  	-10.4	-1.7       	3.9  	1.060854
446                     	824.7                  	-2.1 	53                 	3.4  	069         	2718  	-10.4	-1.8       	3.9  	1.060092
448                     	823.9                  	-2.2 	53                 	3.5  	071         	2725  	-10.4	-1.8       	3.9  	1.059330
450                     	823.1                  	-2.2 	53                 	3.6  	072         	2733  	-10.5	-1.9       	3.9  	1.058569
452                     	822.2                  	-2.3 	53                 	3.6  	075         	2741  	-10.5	-2.0       	3.9  	1.057794
454                     	821.4                  	-2.4 	53                 	3.6  	078         	2749  	-10.5	-2.0       	3.9  	1.057015
456                     	820.6                  	-2.4 	53                 	3.7  	081         	2756  	-10.6	-2.1       	3.9  	1.056237
458                     	819.8                  	-2.5 	54                 	3.7  	084         	2764  	-10.6	-2.2       	3.9  	1.055459
460                     	819.0                  	-2.6 	54                 	3.7  	087         	2772  	-10.6	-2.2       	3.9  	1.054682
462                     	818.2                  	-2.6 	54                 	3.8  	090         	2779  	-10.7	-2.3       	3.9  	1.053905
464                     	817.4                  	-2.7 	54                 	3.8  	093         	2787  	-10.7	-2.4       	3.9  	1.053127
466                     	816.6                  	-2.8 	54                 	3.8  	096         	2795  	-10.8	-2.4       	3.9  	1.052335
468                     	815.9                  	-2.8 	54                 	3.9  	098         	2803  	-10.8	-2.5       	3.9  	1.051544
470                     	815.0                  	-2.9 	54                 	3.9  	101         	2810  	-10.9	-2.5       	3.9  	1.050725
472                     	814.2                  	-2.9 	54                 	3.8  	099         	2818  	-10.9	-2.6       	3.9  	1.049907
474                     	813.4                  	-3.0 	54                 	3.8  	097         	2827  	-10.9	-2.7       	4.2  	1.049090
476                     	812.4                  	-3.1 	54                 	3.8  	095         	2836  	-11.0	-2.7       	4.6  	1.048099
478                     	811.5                  	-3.1 	54                 	3.7  	092         	2845  	-11.2	-2.8       	4.6  	1.047113
480                     	810.5                  	-3.2 	53                 	3.7  	090         	2854  	-11.3	-2.9       	4.6  	1.046139
482                     	809.6                  	-3.3 	53                 	3.6  	088         	2864  	-11.4	-2.9       	4.6  	1.045165
484                     	808.7                  	-3.3 	53                 	3.6  	085         	2873  	-11.6	-3.0       	4.6  	1.044192
486                     	807.7                  	-3.4 	52                 	3.6  	083         	2882  	-11.7	-3.1       	4.6  	1.043221
488                     	806.8                  	-3.4 	52                 	3.5  	080         	2891  	-11.8	-3.1       	4.6  	1.042249
490                     	805.8                  	-3.5 	52                 	3.5  	078         	2901  	-11.9	-3.2       	4.6  	1.041278
492                     	804.9                  	-3.6 	52                 	3.4  	078         	2910  	-12.0	-3.3       	4.6  	1.040338
494                     	803.9                  	-3.7 	52                 	3.4  	079         	2919  	-12.1	-3.4       	4.6  	1.039421
496                     	803.0                  	-3.7 	52                 	3.4  	080         	2929  	-12.2	-3.4       	4.6  	1.038504
498                     	802.0                  	-3.8 	51                 	3.3  	080         	2938  	-12.3	-3.5       	4.6  	1.037589
500                     	801.1                  	-3.9 	51                 	3.3  	081         	2947  	-12.4	-3.6       	4.6  	1.036676
502                     	800.2                  	-4.0 	51                 	3.3  	082         	2956  	-12.5	-3.7       	4.6  	1.035763
504                     	799.2                  	-4.1 	51                 	3.2  	083         	2966  	-12.5	-3.8       	4.6  	1.034851
506                     	798.3                  	-4.1 	52                 	3.2  	083         	2975  	-12.6	-3.8       	4.5  	1.034006
508                     	797.4                  	-4.2 	52                 	3.2  	084         	2984  	-12.6	-3.9       	4.5  	1.033164
510                     	796.5                  	-4.3 	52                 	3.1  	085         	2993  	-12.7	-4.0       	4.5  	1.032322
512                     	795.6                  	-4.4 	52                 	3.3  	088         	3002  	-12.7	-4.1       	4.5  	1.031481
514                     	794.6                  	-4.5 	52                 	3.4  	091         	3011  	-12.8	-4.2       	4.5  	1.030640
516                     	793.7                  	-4.6 	52                 	3.5  	094         	3020  	-12.8	-4.3       	4.5  	1.029800
518                     	792.8                  	-4.7 	53                 	3.7  	097         	3029  	-12.8	-4.4       	4.5  	1.028957
520                     	791.9                  	-4.8 	53                 	3.8  	100         	3038  	-12.9	-4.5       	4.5  	1.028105
522                     	791.0                  	-4.9 	53                 	4.0  	102         	3047  	-12.9	-4.6       	4.5  	1.027255
524                     	790.1                  	-4.9 	53                 	4.1  	104         	3056  	-12.9	-4.7       	4.5  	1.026404
526                     	789.2                  	-5.0 	54                 	4.2  	106         	3065  	-12.9	-4.7       	4.5  	1.025554
528                     	788.3                  	-5.1 	54                 	4.3  	108         	3074  	-13.0	-4.8       	4.5  	1.024704
530                     	787.4                  	-5.2 	54                 	4.5  	110         	3083  	-13.0	-4.9       	4.5  	1.023854
